unicode letter, observed count, unicode encoding, description
е, 226, 0x435, "CYRILLIC SMALL LETTER IE"
о, 198, 0x43e, "CYRILLIC SMALL LETTER O"
ο, 168, 0x3bf, "GREEK SMALL LETTER OMICRON"
ü, 164, 0xfc, "LATIN SMALL LETTER U WITH DIAERESIS"
ō, 108, 0x14d, "LATIN SMALL LETTER O WITH MACRON"
ı, 100, 0x131, "LATIN SMALL LETTER DOTLESS I"
ù, 90, 0xf9, "LATIN SMALL LETTER U WITH GRAVE"
ö, 81, 0xf6, "LATIN SMALL LETTER O WITH DIAERESIS"
ï, 77, 0xef, "LATIN SMALL LETTER I WITH DIAERESIS"
т, 73, 0x442, "CYRILLIC SMALL LETTER TE"
а, 63, 0x430, "CYRILLIC SMALL LETTER A"
é, 59, 0xe9, "LATIN SMALL LETTER E WITH ACUTE"
í, 58, 0xed, "LATIN SMALL LETTER I WITH ACUTE"
ġ, 56, 0x121, "LATIN SMALL LETTER G WITH DOT ABOVE"
ה, 53, 0x5d4, "HEBREW LETTER HE"
ứ, 52, 0x1ee9, "LATIN SMALL LETTER U WITH HORN AND ACUTE"
ả, 52, 0x1ea3, "LATIN SMALL LETTER A WITH HOOK ABOVE"
ç, 50, 0xe7, "LATIN SMALL LETTER C WITH CEDILLA"
ơ, 40, 0x1a1, "LATIN SMALL LETTER O WITH HORN"
ã, 40, 0xe3, "LATIN SMALL LETTER A WITH TILDE"
á, 40, 0xe1, "LATIN SMALL LETTER A WITH ACUTE"
ד, 39, 0x5d3, "HEBREW LETTER DALET"
ä, 38, 0xe4, "LATIN SMALL LETTER A WITH DIAERESIS"
à, 38, 0xe0, "LATIN SMALL LETTER A WITH GRAVE"
к, 35, 0x43a, "CYRILLIC SMALL LETTER KA"
и, 35, 0x438, "CYRILLIC SMALL LETTER I"
ẹ, 35, 0x1eb9, "LATIN SMALL LETTER E WITH DOT BELOW"
н, 33, 0x43d, "CYRILLIC SMALL LETTER EN"
י, 33, 0x5d9, "HEBREW LETTER YOD"
м, 31, 0x43c, "CYRILLIC SMALL LETTER EM"
ס, 31, 0x5e1, "HEBREW LETTER SAMEKH"
р, 26, 0x440, "CYRILLIC SMALL LETTER ER"
ĺ, 26, 0x13a, "LATIN SMALL LETTER L WITH ACUTE"
ì, 25, 0xec, "LATIN SMALL LETTER I WITH GRAVE"
ĕ, 24, 0x115, "LATIN SMALL LETTER E WITH BREVE"
ɡ, 24, 0x261, "LATIN SMALL LETTER SCRIPT G"
б, 22, 0x431, "CYRILLIC SMALL LETTER BE"
ĸ, 22, 0x138, "LATIN SMALL LETTER KRA"
і, 21, 0x456, "CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I"
ạ, 21, 0x1ea1, "LATIN SMALL LETTER A WITH DOT BELOW"
ḷ, 20, 0x1e37, "LATIN SMALL LETTER L WITH DOT BELOW"
с, 19, 0x441, "CYRILLIC SMALL LETTER ES"
ל, 19, 0x5dc, "HEBREW LETTER LAMED"
ó, 18, 0xf3, "LATIN SMALL LETTER O WITH ACUTE"
ỉ, 18, 0x1ec9, "LATIN SMALL LETTER I WITH HOOK ABOVE"
ė, 18, 0x117, "LATIN SMALL LETTER E WITH DOT ABOVE"
ת, 17, 0x5ea, "HEBREW LETTER TAV"
ò, 17, 0xf2, "LATIN SMALL LETTER O WITH GRAVE"
ɑ, 17, 0x251, "LATIN SMALL LETTER ALPHA"
ṁ, 16, 0x1e41, "LATIN SMALL LETTER M WITH DOT ABOVE"
â, 16, 0xe2, "LATIN SMALL LETTER A WITH CIRCUMFLEX"
よ, 16, 0x3088, "HIRAGANA LETTER YO"
が, 16, 0x304c, "HIRAGANA LETTER GA"
ב, 15, 0x5d1, "HEBREW LETTER BET"
π, 14, 0x3c0, "GREEK SMALL LETTER PI"
ḳ, 14, 0x1e33, "LATIN SMALL LETTER K WITH DOT BELOW"
ğ, 14, 0x11f, "LATIN SMALL LETTER G WITH BREVE"
đ, 14, 0x111, "LATIN SMALL LETTER D WITH STROKE"
ш, 13, 0x448, "CYRILLIC SMALL LETTER SHA"
צ, 13, 0x5e6, "HEBREW LETTER TSADI"
